424253.34,4920672.93
424016.57,4920669.06
424014.36,4920669.06
424011.46,4920671.96
424011.41,4920715.64
424008.45,4920719.01
424001.89,4920719.10
423999.43,4920721.17
423997.83,4920841.14
423996.30,4920853.61
423978.63,4920886.76
423976.26,4920894.63
423976.80,4920904.63
423979.87,4920908.39
424130.81,4920905.37
424225.03,4920878.69
424241.33,4920877.31
424315.76,4920857.55
424318.69,4920853.87
424318.69,4920847.07
424319.84,4920842.95
424328.98,4920835.28
424400.99,4920815.00
424416.08,4920804.39
424421.39,4920792.24
424419.54,4920781.68
424411.22,4920770.23
424361.18,4920739.32
424351.86,4920737.34
424320.70,4920737.76
424304.56,4920739.74
424301.07,4920737.40
424288.50,4920704.20
424277.47,4920693.12
424270.42,4920679.32
424269.66,4920676.96
